motif_id	tf_name	tf_class	tf_family	tf_subfamily
ELK4_M07958_2.00	ELK4	tryptophan cluster factors	Ets-related factors	Elk-like factors
ELK4_M08112_2.00	ELK4	tryptophan cluster factors	Ets-related factors	Elk-like factors
ELK4_MA0076.2	ELK4	tryptophan cluster factors	Ets-related factors	Elk-like factors
EPAS1_EPAS1_HUMAN.H11MO.0.B	EPAS1	basic helix-loop-helix (bHLH)	PAS domain factors	Ahr-like factors
ERG_ERG_HUMAN.H11MO.0.A	ERG	tryptophan cluster factors	Ets-related factors	Ets-like factors
ERR1_ERR1_HUMAN.H11MO.0.A	ERR1	nuclear receptors with C4 zinc fingers	steroid hormone receptors (NR3)	ER-like receptors (NR3A&B)
ERR2_ERR2_HUMAN.H11MO.0.A	ERR2	nuclear receptors with C4 zinc fingers	steroid hormone receptors (NR3)	ER-like receptors (NR3A&B)
ERR3_ERR3_HUMAN.H11MO.0.B	ERR3	nuclear receptors with C4 zinc fingers	steroid hormone receptors (NR3)	ER-like receptors (NR3A&B)
ESR1_ESR1_HUMAN.H11MO.0.A	ESR1	nuclear receptors with C4 zinc fingers	steroid hormone receptors (NR3)	ER-like receptors (NR3A&B)
ESR1_M07985_2.00	ESR1	nuclear receptors with C4 zinc fingers	steroid hormone receptors (NR3)	ER-like receptors (NR3A&B)
ESR1_M08217_2.00	ESR1	nuclear receptors with C4 zinc fingers	steroid hormone receptors (NR3)	ER-like receptors (NR3A&B)
ESR1_M08218_2.00	ESR1	nuclear receptors with C4 zinc fingers	steroid hormone receptors (NR3)	ER-like receptors (NR3A&B)
ESR2_ESR2_HUMAN.H11MO.0.A	ESR2	nuclear receptors with C4 zinc fingers	steroid hormone receptors (NR3)	ER-like receptors (NR3A&B)
ESR2_M08154_2.00	ESR2	nuclear receptors with C4 zinc fingers	steroid hormone receptors (NR3)	ER-like receptors (NR3A&B)
ESR2_MA0258.2	ESR2	nuclear receptors with C4 zinc fingers	steroid hormone receptors (NR3)	ER-like receptors (NR3A&B)
ESRRA_M07988_2.00	ESRRA	nuclear receptors with C4 zinc fingers	steroid hormone receptors (NR3)	ER-like receptors (NR3A&B)
ESRRA_M07989_2.00	ESRRA	nuclear receptors with C4 zinc fingers	steroid hormone receptors (NR3)	ER-like receptors (NR3A&B)
ESRRA_MA0592.3	ESRRA	nuclear receptors with C4 zinc fingers	steroid hormone receptors (NR3)	ER-like receptors (NR3A&B)
ETS1_ETS1_HUMAN.H11MO.0.A	ETS1	tryptophan cluster factors	Ets-related factors	Ets-like factors
ETS1_M07950_2.00	ETS1	tryptophan cluster factors	Ets-related factors	Ets-like factors
ETS1_M07951_2.00	ETS1	tryptophan cluster factors	Ets-related factors	Ets-like factors
ETS2_ETS2_HUMAN.H11MO.0.B	ETS2	tryptophan cluster factors	Ets-related factors	Ets-like factors
ETV1_ETV1_HUMAN.H11MO.0.A	ETV1	tryptophan cluster factors	Ets-related factors	Elk-like factors
ETV1_MA0761.2	ETV1	tryptophan cluster factors	Ets-related factors	Elk-like factors
ETV2_ETV2_HUMAN.H11MO.0.B	ETV2	tryptophan cluster factors	Ets-related factors	Ets-like factors
ETV4_ETV4_HUMAN.H11MO.0.B	ETV4	tryptophan cluster factors	Ets-related factors	Elk-like factors
ETV5_ETV5_HUMAN.H11MO.0.C	ETV5	tryptophan cluster factors	Ets-related factors	Elk-like factors
EVI1_EVI1_HUMAN.H11MO.0.B	EVI1	C2H2 zinc finger factors	factors with multiple dispersed zinc fingers	Evi-1-like factors
EWSR1-FLI1_MA0149.1	EWSR1-FLI1	tryptophan cluster factors	Ets-related factors	Ets-like factors
FEV_FEV_HUMAN.H11MO.0.B	FEV	tryptophan cluster factors	Ets-related factors	Ets-like factors
FEZF1_FEZF1_HUMAN.H11MO.0.C	FEZF1	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	FEZF factors
FEZF1_M08307_2.00	FEZF1	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	FEZF factors
FLI1_FLI1_HUMAN.H11MO.0.A	FLI1	tryptophan cluster factors	Ets-related factors	Ets-like factors
FLI1_M08111_2.00	FLI1	tryptophan cluster factors	Ets-related factors	Ets-like factors
FOS_FOS_HUMAN.H11MO.0.A	FOS	basic leucine zipper (bZIP) factors	Fos-related factors	Fos factors
FOS_M07826_2.00	FOS	basic leucine zipper (bZIP) factors	Fos-related factors	Fos factors
FOS_M07827_2.00	FOS	basic leucine zipper (bZIP) factors	Fos-related factors	Fos factors
FOS_M07828_2.00	FOS	basic leucine zipper (bZIP) factors	Fos-related factors	Fos factors
FOS_M08069_2.00	FOS	basic leucine zipper (bZIP) factors	Fos-related factors	Fos factors
FOS_MA0476.1	FOS	basic leucine zipper (bZIP) factors	Fos-related factors	Fos factors
FOSB_FOSB_HUMAN.H11MO.0.A	FOSB	basic leucine zipper (bZIP) factors	Fos-related factors	Fos factors
FOSL1_FOSL1_HUMAN.H11MO.0.A	FOSL1	basic leucine zipper (bZIP) factors	Fos-related factors	Fos factors
FOSL1_M07833_2.00	FOSL1	basic leucine zipper (bZIP) factors	Fos-related factors	Fos factors
FOSL1_M08071_2.00	FOSL1	basic leucine zipper (bZIP) factors	Fos-related factors	Fos factors
FOSL1_MA0477.2	FOSL1	basic leucine zipper (bZIP) factors	Fos-related factors	Fos factors
FOSL2_FOSL2_HUMAN.H11MO.0.A	FOSL2	basic leucine zipper (bZIP) factors	Fos-related factors	Fos factors
FOSL2_M07812_2.00	FOSL2	basic leucine zipper (bZIP) factors	Fos-related factors	Fos factors
FOSL2_M08064_2.00	FOSL2	basic leucine zipper (bZIP) factors	Fos-related factors	Fos factors
FOSL2_MA0478.1	FOSL2	basic leucine zipper (bZIP) factors	Fos-related factors	Fos factors
FOXA1_FOXA1_HUMAN.H11MO.0.A	FOXA1	forkhead/winged helix factors	forkhead box (FOX) factors	FOXA
